Code,council,year_of_income,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%),
22250,Gannawarra Shire Council,2020,"4,537",44,214.3,"43,187","47,237",65.8,"1,541",56,30.6,"10,000","19,879",14.6,"3,943",53,35.5,311,"8,996",17.6,125,58,2.6,"10,329","20,468",1.4,"5,605",50,270.5,"42,157","48,255",5.94,1.79,0.30,0.08,0.484,6.4,18.4,29.8,31.8,29.0,25.3,13.9,498,29.3,"3,131","58,883",-,45,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22310,Glen Eira City Council,2020,"84,016",38,"6,424.3","59,228","76,465",73.2,"14,085",44,474.3,"11,880","33,672",7.0,"73,879",43,"1,133.1",427,"15,338",18.0,"1,642",63,51.5,"22,596","31,389",1.0,"95,325",42,"7,755.2","59,170","81,355",5.63,2.00,0.36,0.16,0.503,9.8,23.7,35.3,23.3,21.7,22.2,32.7,"10,639",685.7,"2,836","64,452",-,179,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22410,Glenelg Shire Council,2020,"9,622",43,531.0,"48,634","55,185",73.8,"2,433",56,52.4,"9,736","21,521",11.3,"7,261",52,51.1,176,"7,044",12.8,279,57,7.1,"12,391","25,444",1.5,"11,131",48,617.9,"46,580","55,509",5.64,1.89,0.34,0.11,0.469,6.4,18.0,29.0,29.2,26.0,24.6,20.3,807,38.1,"3,644","47,242",-,92,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22490,Golden Plains Shire Council,2020,"12,466",42,756.3,"53,822","60,672",77.9,"2,343",49,47.0,"9,017","20,069",8.4,"9,007",46,75.0,91,"8,326",12.0,288,56,8.4,"20,024","29,133",1.2,"13,953",44,856.0,"52,636","61,345",4.39,1.75,0.40,0.17,0.434,6.3,17.7,28.3,23.3,26.4,27.5,22.7,842,29.9,"3,084","35,541",-,59,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22620,Greater Bendigo City Council,2020,"59,292",39,"3,423.6","51,481","57,741",78.5,"8,209",49,187.1,"9,831","22,796",6.1,"43,773",47,196.5,137,"4,489",13.3,"1,840",59,48.9,"19,456","26,560",1.6,"66,437",43,"3,716.5","50,380","55,941",4.62,1.76,0.38,0.15,0.515,6.7,18.9,30.2,25.1,27.0,27.5,20.4,"4,575",110.3,"2,542","24,106",22,390,295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22670,Greater Dandenong City Council,2020,"79,884",35,"3,930.5","44,670","49,203",80.8,"14,576",36,274.0,"13,714","18,797",9.9,"49,398",38,183.8,39,"3,722",8.1,"1,101",56,24.7,"9,984","22,462",0.8,"86,201",37,"4,230.0","43,220","49,072",4.12,1.70,0.41,0.20,0.416,5.6,16.8,27.4,28.7,32.5,26.3,12.5,"3,448",100.4,"2,504","29,104",7,825,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22750,Greater Geelong City Council,2020,"133,179",39,"8,115.7","52,125","60,938",77.5,"19,496",43,476.2,"11,255","24,423",6.5,"100,555",45,939.8,130,"9,346",14.0,"3,556",59,102.8,"20,340","28,907",1.4,"149,312",42,"9,307.1","51,228","62,334",4.80,1.83,0.38,0.16,0.450,7.1,19.2,30.1,25.0,26.1,25.9,23.1,"10,865",433.7,"3,093","39,915",45,966,426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22830,Greater Shepparton City Council,2020,"34,083",39,"1,795.2","47,001","52,673",78.8,"5,997",50,87.7,"8,173","14,630",7.5,"23,460",47,202.4,110,"8,629",12.0,793,54,16.8,"10,000","21,171",1.2,"37,197",43,"2,035.6","46,821","54,724",4.64,1.77,0.38,0.16,0.442,6.7,18.4,29.0,27.3,28.4,27.0,17.3,"2,361",82.4,"2,515","34,893",11,193,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22910,Hepburn Shire Council,2020,"7,165",46,408.3,"47,603","56,990",66.5,"2,322",53,37.0,"9,127","15,924",13.9,"6,108",53,65.1,229,"10,666",16.8,252,60,8.2,"19,042","32,569",1.6,"8,927",50,495.1,"43,129","55,459",6.01,1.95,0.32,0.11,0.505,9.1,22.3,33.7,31.1,27.2,23.5,18.2,734,37.9,"5,048","51,644",4,61,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22980,Hindmarsh Shire Council,2020,"2,392",42,118.2,"46,797","49,409",63.9,990,56,56.4,"27,916","56,974",19.1,"2,242",53,22.1,484,"9,842",15.3,76,58,1.5,"12,992","19,113",1.4,"3,104",50,193.0,"49,326","62,179",5.00,1.76,0.35,0.12,0.504,9.6,24.4,35.5,26.6,26.7,27.2,19.5,286,9.0,"2,268","31,608",-,20,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
